F_CODE,F_LEVEL,F_STATUS,OCEAN,SUBOCEAN,F_AREA,F_SUBAREA,F_DIVISION,F_SUBDIVIS,F_SUBUNIT,ID,NAME_EN,NAME_FR,NAME_ES,SURFACE
27.7.f,DIVISION,1,Atlantic,2,27,27.7,27.7.f,,,251,Bristol Channel (Division 27.7.f),Canal de Bristol (Division 27.7.f),Canal de Bristol (División 27.7.f),18973204582
27.7.g,DIVISION,1,Atlantic,2,27,27.7,27.7.g,,,252,Celtic Sea North (Division 27.7.g),Mer Celtique du nord (Division 27.7.g),Mar Céltico norte (División 27.7.g),47663214234
27.12.c,DIVISION,1,Atlantic,2,27,27.12,27.12.c,,,253,Central Northeast Atlantic - South (Division 27.12.c),Nord des Açores (Division 27.12.c),Norte de las Azores (División 27.12.c),8.56597E+11
27.7.k,DIVISION,1,Atlantic,2,27,27.7,27.7.k,,,254,Southwest of Ireland - West (Division 27.7.k),Sud-ouest de l'Irlande - Ouest (Division 27.7.k),Sudoeste de Irlanda - Oeste (División 27.7.k),2.14505E+11
27.4.c,DIVISION,1,Atlantic,2,27,27.4,27.4.c,,,255,Southern North Sea (Division 27.4.c),Mer du Nord méridionale (Division 27.4.c),Mar del Norte meridional (División 27.4.c),64302562996
27.7.c,DIVISION,1,Atlantic,2,27,27.7,27.7.c,,,256,Porcupine Bank (Division 27.7.c),Banc de Porcupine (Division 27.7.c),Porcupine Bank (División 27.7.c),88580571011
27.3.d,DIVISION,1,Atlantic,2,27,27.3,27.3.d,,,257,Baltic Sea (Division 27.3.d),Mer Baltique (Division 27.3.d),Mar Báltico (División 27.3.d),3.80162E+11
"27.3.b, c",DIVISION,1,Atlantic,2,27,27.3,"27.3.b, c",,,258,,,,20488442820
37.1,SUBAREA,1,Atlantic,3,37,37.1,,,,21,Western subarea,Sous-zone occidentale,Subárea occidental,8.44633E+11
27.4.b,DIVISION,1,Atlantic,2,27,27.4,27.4.b,,,259,Central North Sea (Division 27.4.b),Mer du Nord centrale (Division 27.4.b),Mar del Norte central (División 27.4.b),2.81385E+11
27.6.b,DIVISION,1,Atlantic,2,27,27.6,27.6.b,,,260,Rockall (Division 27.6.b),Rockall (Division 27.6.b),Rockall (División 27.6.b),2.21554E+11
27.5.b,DIVISION,1,Atlantic,2,27,27.5,27.5.b,,,261,Faroes Grounds (Division 27.5.b),Fonds des Féroé (Division 27.5.b),Fondos de las Feroe (División 27.5.b),1.92205E+11
