Chimaeriformes,Batoidea,Squalimorph Sharks,Gaelomorph Sharks
,Brochiraja spinifera,Somniosus pacificus,Cephaloscyllium cooki
,Brochiraja vittacauda,Somniosus rostratus,Cephaloscyllium fasciatum
,Crassinarke dormitor,Squaliolus aliae,Cephaloscyllium formosanum
,Cruriraja andamanica,Squaliolus laticaudus,Cephaloscyllium hiscosellum
,Cruriraja atlantis,Squalus acanthias,Cephaloscyllium isabellum
,Cruriraja cadenati,Squalus acutipinnis,Cephaloscyllium laticeps
,Cruriraja durbanensis,Squalus albicaudus,Cephaloscyllium maculatum
,Cruriraja hulleyi,Squalus albifrons,Cephaloscyllium pardelotum
,Cruriraja parcomaculata,Squalus altipinnis,Cephaloscyllium pictum
,Cruriraja poeyi,Squalus bahiensis,Cephaloscyllium sarawakensis
,Cruriraja rugosa,Squalus blainville,Cephaloscyllium signourum
,Dactylobatus armatus,Squalus brevirostris,Cephaloscyllium silasi
,Dactylobatus clarkii,Squalus bucephalus,Cephaloscyllium speccum
,Dasyatis acutirostra,Squalus chloroculus,Cephaloscyllium stevensi
,Dasyatis akajei,Squalus crassispinus,Cephaloscyllium sufflans
,Dasyatis americana,Squalus cubensis,Cephaloscyllium umbratile
,Dasyatis bennetti,Squalus edmundsi,Cephaloscyllium variegatum
,Dasyatis brevicaudata,Squalus formosus,Cephaloscyllium ventriosum
,Dasyatis centroura,Squalus grahami,Cephaloscyllium zebrum
,Dasyatis chrysonota,Squalus griffini,Cephalurus cephalus
,Dasyatis colarensis,Squalus hemipinnis,Cetorhinus maximus
,Dasyatis dipterura,Squalus japonicus,Chaenogaleus macrostoma
,Dasyatis fluviorum,Squalus lalannei,Chiloscyllium arabicum
,Dasyatis garouaensis,Squalus lobularis,Chiloscyllium burmensis
,Dasyatis geijskesi,Squalus mahia,Chiloscyllium caeruleopunctatum
,Dasyatis gigantea,Squalus margaretsmithae,Chiloscyllium griseum
,Dasyatis guttata,Squalus megalops,Chiloscyllium hasseltii
,Dasyatis hastata,Squalus melanurus,Chiloscyllium indicum
,Dasyatis hypostigma,Squalus mitsukurii,Chiloscyllium plagiosum
,Dasyatis izuensis,Squalus montalbani,Chiloscyllium punctatum
,Dasyatis laevigata,Squalus nasutus,Cirrhoscyllium expolitum
