Notes,resource_id,resource,year,DOI,source,suffix,author_year
,rizzari2014c,"Rizzari, J.R. & Frisch, A.J. & Hoey, A.S. & McCormick, M.I. (2014) Not worth the risk: apex predators suppress herbivory on coral reefs. Oikos, 123 (7) 829:836.",2014,10.1111/oik.01318,Simon-Dedman,,rizzari2014c
,rizzari2014d,"Rizzari, J.R. & Bergseth, B.J. & Frisch, A.J. (2014) Impact of conservation areas on trophic interactions between apex predators and herbivores on coral reefs. Conservation Biology, 29 (2) 418:429.",2014,10.1111/cobi.12385,Simon-Dedman,,rizzari2014d
,sabando2020,"Sabando, M.A. & Rieucau, G. & Bradley, D. & Caselle, J.E. & Papastamatiou, Y.P. (2020) Habitat-specific inter and intraspecific behavioral interactions among reef sharks. Oecologia, 193, 371:376.",2020,10.1007/s00442-020-04676-y,Simon-Dedman,,sabando2020
,shea2020,"Shea, B.D. & Benson, C.W. & de Silva, C. & Donovan, D. & Romeiro, J. & Bond, M.E. & Creel, S. & Gallagher, A.J. (2020) Effects of exposure to large sharks on the abundance and behavior of mobile prey fishes along a temperate coastal gradient. PLoS ONE, 15 (3) e0230308.",2020,10.1371/journal. pone.0230308,Simon-Dedman,,shea2020
,sherman2020,"Sherman, C.S. & Heupel, M.R. & Moore, S.K. & Chin, A. & Simpfendorfer, C.A. (2020) When sharks are away, rays will play: effects of top predator removal in coral reef ecosystems. Marine Ecology Progress Series, 641, 145:157.",2020,10.3354/meps13307,Simon-Dedman,,sherman2020
,thompson2022,"Thompson, C.D.H. & Meeuwig, J.J. (2022) Sharks are the preferred scraping surface for large pelagic fishes: Possible implications for parasite removal and fitness in a changing ocean. PLoS ONE, 17 (10) e0275458.",2022,10.1371/journal.pone.0275458,Simon-Dedman,,thompson2022
,thrush1994,"Thrush, S.F. & Pridmore, R.D. & Hewitt, J.E. & Cummings, V.J. (1994) The importance of predators on a sand-flat: interplay between seasonal changes in prey densities and predator effects. Marine Ecology Progress Series, 107, 211-222.",1994,,Simon-Dedman,,thrush1994
,towner2022,"Towner, A.V. & Watson, R.G.A. & Kock, A.A. & Papastamatiou, Y. & Sturup, M. & Gennari, E. & Baker, K. & Booth, T. & Dicken, M. & Chivell, W. & Elwen, S. & Kaschke, T. & Edwards, D. & Smale, M.J. (2022) Fear at the top: killer whale predation drives white shark absence at South Africa’s largest aggregation site. African Journal of Marine Science, 44 (2) 139:152",2022,10.2989/1814232X.2022.2066723,Simon-Dedman,,towner2022
,towner2022a,"Towner, A.V. & Kock, A.A. & Stopforth, C. & Hurwitz, D. & Elwen, S.H. (2022) Direct observation of killer whales preying on white sharks and evidence of a flight response. Ecology, e3875.",2022,10.6084/m9.figshare.20625222,Simon-Dedman,,towner2022a
,valentine1994,"Valentine, J.F. & Heck Jr, K.L. & Harper, P. & Beck, M. (1994) Effects of bioturbation in controlling turtlegrass (Thalassia testudinum Banks ex Kӧnig) abundance: evidence from field enclosures and observations in the Northern Gulf of Mexico. Journal of Experimental Marine Biology and Ecology, 178 (2) 181:192.",1994,10.1016/0022-0981(94)90035-3,Simon-Dedman,,valentine1994
,vanblaricom1982,"VanBlaricom, G.R. (1982) Experimental analyses of structural regulation in a marine sand community exposed to oceanic swell. Ecological Monographs, 52 (3) 283:305",1982,10.2307/2937332,Simon-Dedman,,vanblaricom1982
,vaughan2010b,"Vaughan, R. & Würsig, B. & Packard, J. (2010) Dolphin prey herding: prey ball mobility relative to dolphin group and prey ball sizes, multispecies associates, and feeding duration. Marine Mammal Science, 26 (1) 213:225.",2010,10.1111/j.1748-7692.2009.00317.x,Simon-Dedman,,vaughan2010b
,visser2005,"Visser, I.N. (2005) First observations of feeding on thresher (Alopias vulpinus) and hammerhead (Sphyrna zygaena) sharks by killer whales (Orcinus orca) specialising on elasmobranch prey. Aquatic Mammals, 31 (1) 83.",2005,10.1578/AM.31.1.2005.83,Simon-Dedman,,visser2005
,ward2005a,"Ward, P. & Myers, R.A. (2005) Shifts in open-ocean fish communities coinciding with the commencement of commercial fishing. Ecology, 86 (4) 835:847.",2005,10.1890/03-0746,Simon-Dedman,,ward2005a
,wirsing2008,"Wirsing, A.J. & Heithaus, M.R. & Frid, A. & Dill, L.M. (2008) Seascapes of fear: evaluating sublethal predator effects experienced and generated by marine mammals. Marine Mammal Science, 24 (1) 1:15.",2008,10.1111/j.1748-7692.2007.00167.x,Simon-Dedman,,wirsing2008
